MonitoringLocationIdentifier,MonitoringLocationName,LatitudeMeasure,LongitudeMeasure
USGS-03503000,"LITTLE TENNESSEE RIVER AT NEEDMORE, NC",35.33638889,-83.5269444
USGS-03505500,"NANTAHALA RIVER AT NANTAHALA, NC",35.29870237,-83.65572409
USGS-03505550,"NANTAHALA RIVER NEAR HEWITT, NC",35.305,-83.6522222
USGS-03510815,"MINGUS CREEK AT RAVENSFORD, NC",35.60398649,-83.30820859
USGS-03512000,"OCONALUFTEE RIVER AT BIRDTOWN, NC",35.46138889,-83.3536111
USGS-03512468,"TUCKASEGEE R AT US HWY 19 NR BRYSON CITY, NC",35.4317632,-83.41432369
USGS-03513000,"TUCKASEGEE RIVER AT BRYSON CITY, NC",35.4275,-83.4469444
USGS-03513500,"NOLAND CREEK NEAR BRYSON CITY, NC",35.48481705,-83.5040515
USGS-353405083202101,"SW-048 NR CHEROKEE, NC (QUARTZITE)",35.56800556,-83.3391472
USGS-351941083353401,AT 23004 SILVERMINE CREEK NC,35.32811667,-83.5927917
USGS-353352083284701,AT 21098 NOLAND CREEK NC,35.56469444,-83.4798306
USGS-353629083261801,AT 21097 BEECH FLAT PRONG TN,35.60813889,-83.43838889
USGS-353635083270301,AT 21011 ROAD PRONG TN,35.60981944,-83.4508361
USGS-03468510,"FRENCH BROAD RIVER AT DOUGLAS DAM(TW), TN",35.9612005,-83.5387809
USGS-03469100,"LITTLE PIGEON RIVER NEAR PITTMAN CENTER, TN",35.7389826,-83.41627078
USGS-03469122,"LITTLE PIGEON RIVER AT LAUREL, TN",35.777038,-83.4057156
USGS-03469160,"EAST FORK LITTLE PIGEON R NR SEVIERVILLE, TN",35.865369,-83.4879436
USGS-03469225,W P LT PIGEON R NR MT LE CONTE TN,35.63731578,-83.4926628
USGS-03469290,"DUDLEY CREEK NEAR GATLINBURG, TN",35.73009324,-83.4504389
USGS-03469400,"WEST PRONG LITTLE PIGEON RIVER AT GATLINBURG, TN",35.73370305,-83.5201642
USGS-03469500,"WEST PRONG LITTLE PIGEON R NR PIGEON FORGE, TN",35.80592357,-83.574334
USGS-03469900,"WEST PRONG LITTLE PIGEON RIVER AT SEVIERVILLE,TN",35.87120076,-83.57405779
USGS-03470000,"LITTLE PIGEON RIVER AT SEVIERVILLE, TN",35.87842286,-83.57766919
USGS-03470025,"LITTLE PIGEON RIVER NR CATLETTSBURG, TN",35.9312,-83.5868374
USGS-03470100,"BAILEY SPRING NEAR KODAK, TN",35.9447272,-83.6151719
USGS-03470200,"ROCKY SPRING AT BOYDS CREEK, TN",35.92247655,-83.6660898
USGS-03470210,"FRENCH BROAD RIVER NR KODAK, TN",35.94175434,-83.6557288
USGS-03497180,"LITTLE RIVER AT ELKMONT, TN",35.6548138,-83.580444
USGS-03513475,NE NOLAND CREEK NEAR CLINGMANS DOME,35.56509466,-83.4796063
USGS-03513476,SW NOLAND CREEK NEAR CLINGMANS DOME,35.56509466,-83.4796063
USGS-354014083394101,"THE SINKS NR TUCKALEECHEE COVE, TN",35.67055556,-83.66138889
USGS-354225083313200,Sv:E-011,35.70703658,-83.525442
USGS-354230083305600,Sv:E-005,35.70842564,-83.5154417
USGS-354230083310900,Sv:E-012,35.70842557,-83.5190529
USGS-354300083372001,"STUPKAS CAVE NR WEAR COVE, TN",35.71703457,-83.6237789
USGS-354307083213601,"PINNACLE SPRING (GSM NP) NR CAT STAIRS, TN",35.71863889,-83.3600556
USGS-354359083265000,Sv:F-009,35.7331488,-83.4471055
USGS-354410083380601,Sv:D-001,35.73620085,-83.6348905
USGS-354415083265401,Sv:F GAT-26,35.73759319,-83.4482167
USGS-354415083270000,Sv:F-014,35.73759316,-83.4498834
USGS-354606083205301,Sv :M-014,35.76842798,-83.347935
USGS-354747083333801,Sv:K-001,35.79647947,-83.56044448
USGS-355021083305101,Sv:K-078 UTEN98-22,35.83916667,-83.51413889
USGS-355505083412401,Sv:O-009 UTEN98-12,35.9178611,-83.69
USGS-355850083370701,Sv:P-001,35.9806435,-83.6185062
11NPSWRD_WQX-GRSM_BD_JCST,Jakes Creek Stream Site,35.65392083,-83.5820963
11NPSWRD_WQX-GRSM_BD_JCTF,Jakes Creek Throughfall Site,35.65392083,-83.5820963
11NPSWRD_WQX-GRSM_BD_NPST,Newt Prong Stream Site,35.63259915,-83.58818405
11NPSWRD_WQX-GRSM_BD_NPTF,Newt Prong Throughfall Site,35.63259915,-83.58818405
11NPSWRD_WQX-GRSM_BD_RPST,Road Prong Stream Site,35.63031297,-83.46958615
11NPSWRD_WQX-GRSM_BD_RPTF,Road Prong Throughfall Site,35.63031297,-83.46958615
11NPSWRD_WQX-GRSM_BD_WCST,Walker Camp Stream Site,35.62982718,-83.45150481
11NPSWRD_WQX-GRSM_BD_WCTF,Walker Camp Throughfall Site,35.62982718,-83.45150481
11NPSWRD_WQX-GRSM_EPA_ERST,Eagle Rocks Prong Stream Site,35.69182441,-83.32066468
11NPSWRD_WQX-GRSM_EPA_ERTF,Eagle Rocks Prong Throughfall Site,35.69182441,-83.32066468
11NPSWRD_WQX-GRSM_EPA_MPST,Middle Prong Stream Site,35.70274839,-83.33443908
11NPSWRD_WQX-GRSM_EPA_MPTF,Middle Prong Throughfall Site,35.70274839,-83.33443908
11NPSWRD_WQX-GRSM_EPA_RPST,Ramsey Prong Stream Site,35.7044499,-83.32955585
11NPSWRD_WQX-GRSM_EPA_RPTF,Ramsey Prong Throughfall Site,35.7044499,-83.32955585
11NPSWRD_WQX-GRSM_F_0020,Little River at Metcalf Bottoms,35.67857477,-83.64728929
11NPSWRD_WQX-GRSM_F_0021,Little Brier Branch at School,35.68326524,-83.63877263
11NPSWRD_WQX-GRSM_F_0026,LeConte Creek at Boundary,35.69951165,-83.51022481
11NPSWRD_WQX-GRSM_F_0027,Scratch Britches at Twin Creeks Science Center,35.68706416,-83.50062399
11NPSWRD_WQX-GRSM_F_0028,LeConte Creek at Twin Creeks Science Center,35.68669193,-83.50051101
11NPSWRD_WQX-GRSM_F_0030,West Prong Little Pigeon at Headquarters,35.68843962,-83.53654896
11NPSWRD_WQX-GRSM_F_0034,Little River at Milsap Parking Area,35.6647765,-83.60378212
11NPSWRD_WQX-GRSM_F_0040,Little River at Old Road Gate,35.649792,-83.56324241
11NPSWRD_WQX-GRSM_F_0042,Little River at Damaged Bridge,35.63341175,-83.544473
11NPSWRD_WQX-GRSM_F_0043,Porters Creek at Log Bridge,35.6807111,-83.39764847
11NPSWRD_WQX-GRSM_F_0045,Shutts Prong,35.65957172,-83.39759729
11NPSWRD_WQX-GRSM_F_0046,Porters Creek Above Shutts Prong,35.6690506,-83.39644197
11NPSWRD_WQX-GRSM_F_0047,Lower Cannon Creek,35.68053642,-83.39950885
11NPSWRD_WQX-GRSM_F_0048,Porters Creek at Gate,35.68814696,-83.3966839
11NPSWRD_WQX-GRSM_F_0049,Porters Creek at Bridge to Ramsay,35.70768311,-83.38249308
11NPSWRD_WQX-GRSM_F_0050,Middle Prong Little Pigeon Below Porters,35.70884801,-83.38280846
11NPSWRD_WQX-GRSM_F_0052,Middle Prong Little Pigeon at Boundary,35.73850121,-83.4160393
11NPSWRD_WQX-GRSM_F_0066,West Prong Little Pigeon at Chimneys Picnic Area,35.637323,-83.49477836
11NPSWRD_WQX-GRSM_F_0071,Road Prong Above Barrier Cascade,35.63256096,-83.46826687
11NPSWRD_WQX-GRSM_F_0073,Walker Camp Prong Above Road Prong,35.63481868,-83.46974504
11NPSWRD_WQX-GRSM_F_0074,Walker Camp Prong Above Alum Cave Creek,35.62919025,-83.4509299
11NPSWRD_WQX-GRSM_F_0096,Eagle Rocks Creek Above Buck Fork,35.69478677,-83.32450074
11NPSWRD_WQX-GRSM_F_0097,Buck Fork Above Eagle Rocks Creek,35.69551346,-83.32365963
11NPSWRD_WQX-GRSM_F_0191,Sams Creek (Middle Prong Little River),35.58250318,-83.65754235
11NPSWRD_WQX-GRSM_F_0192,Starkey Creek (Middle Prong Little River),35.58253805,-83.65834721
11NPSWRD_WQX-GRSM_F_0195,Spring at Spence Field Shelter,35.56223656,-83.73384333
11NPSWRD_WQX-GRSM_F_0209,Lost Creek (Little River),35.62142259,-83.53723609
11NPSWRD_WQX-GRSM_F_0210,Little River Above Fish Camp Prong,35.61974539,-83.53821251
11NPSWRD_WQX-GRSM_F_0213,Goshen Prong Above Fish Camp Prong,35.59858889,-83.56751197
11NPSWRD_WQX-GRSM_F_0214,Silers Creek (Little River),35.59372295,-83.56754909
11NPSWRD_WQX-GRSM_F_0215,Ashe Camp Prong (Little River),35.5995549,-83.56999734
11NPSWRD_WQX-GRSM_F_0218,Spring at Silers Bald Shelter,35.5664177,-83.56904918
11NPSWRD_WQX-GRSM_F_0220,Double Springs Gap Shelter (TN side),35.56593187,-83.54274493
11NPSWRD_WQX-GRSM_F_0221,Hazel Creek Above Cascades,35.54750844,-83.58236016
