MonitoringLocationIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode
USGS-03503000,Iron,Recoverable,10,ug/l
USGS-03513500,Iron,Recoverable,0,ug/l
USGS-03503000,Iron,Recoverable,20,ug/l
USGS-03505500,Iron,Recoverable,30,ug/l
USGS-03513000,Iron,Recoverable,40,ug/l
USGS-03505500,Iron,Recoverable,0,ug/l
USGS-03505500,Iron,Recoverable,10,ug/l
USGS-03505500,Iron,Recoverable,30,ug/l
USGS-03513000,Iron,Recoverable,30,ug/l
USGS-03512000,Iron,Recoverable,10,ug/l
USGS-03513500,Iron,Recoverable,0,ug/l
USGS-03513000,Iron,Recoverable,10,ug/l
USGS-03513000,Iron,Recoverable,760,ug/l
USGS-03513000,Iron,Recoverable,40,ug/l
USGS-03513500,Iron,Recoverable,20,ug/l
USGS-03513000,Iron,Recoverable,10,ug/l
USGS-03503000,Iron,Recoverable,90,ug/l
USGS-03513000,Iron,Recoverable,50,ug/l
USGS-03512000,Iron,Recoverable,30,ug/l
USGS-03513500,Iron,Recoverable,0,ug/l
USGS-03513000,Iron,Recoverable,20,ug/l
USGS-03513500,Iron,Recoverable,0,ug/l
USGS-03512000,Iron,Recoverable,0,ug/l
USGS-03513000,Iron,Recoverable,60,ug/l
USGS-03503000,Iron,Recoverable,0,ug/l
USGS-03505500,Iron,Recoverable,0,ug/l
USGS-03513000,Iron,Recoverable,0,ug/l
USGS-03503000,Iron,Recoverable,0,ug/l
USGS-03513000,Iron,Recoverable,20,ug/l
USGS-03513000,Iron,Recoverable,50,ug/l
USGS-03512000,Iron,Recoverable,10,ug/l
USGS-03513000,Iron,Recoverable,30,ug/l
USGS-03513000,Iron,Recoverable,20,ug/l
USGS-03503000,Iron,Recoverable,70,ug/l
USGS-03512000,Iron,Recoverable,0,ug/l
USGS-03513000,Iron,Recoverable,40,ug/l
USGS-03513000,Iron,Recoverable,140,ug/l
USGS-03513000,Iron,Recoverable,100,ug/l
USGS-03513000,Iron,Recoverable,80,ug/l
USGS-03513000,Iron,Total,0,ug/l
USGS-03513000,Iron,Recoverable,50,ug/l
USGS-03512000,Iron,Recoverable,0,ug/l
USGS-03503000,Iron,Recoverable,20,ug/l
USGS-03513000,Iron,Total,90,ug/l
USGS-03513000,Iron,Recoverable,70,ug/l
USGS-03513000,Iron,Total,70,ug/l
USGS-03513000,Iron,Total,30,ug/l
USGS-03513000,Iron,Recoverable,0,ug/l
USGS-03513000,Iron,Total,40,ug/l
USGS-03513000,Iron,Recoverable,60,ug/l
USGS-03513000,Iron,Recoverable,30,ug/l
USGS-03513000,Iron,Total,30,ug/l
USGS-03513000,Iron,Recoverable,60,ug/l
USGS-03513000,Iron,Recoverable,30,ug/l
USGS-03513000,Iron,Recoverable,10,ug/l
USGS-03513000,Iron,Recoverable,70,ug/l
USGS-03513000,Iron,Total,70,ug/l
USGS-03513000,Iron,Recoverable,0,ug/l
USGS-03513500,Iron,Recoverable,0,ug/l
USGS-03513000,Iron,Recoverable,40,ug/l
USGS-03513000,Iron,Total,40,ug/l
USGS-03503000,Iron,Recoverable,30,ug/l
