Number,Species,Plot_Trans_Survey,Date,Lat,Long
1,PJOR,51-1-6/13/2012,06/13/2012,35.629229,-83.450617
1,PJOR,51-1-6/13/2012,06/13/2012,35.629229,-83.450617
4,PJOR,51-1-6/13/2012,06/13/2012,35.629229,-83.450617
1,PJOR,51-1-6/13/2012,06/13/2012,35.629229,-83.450617
0,NA,51-1-6/13/2012,06/13/2012,35.629229,-83.450617
1,PJOR,51-2-6/13/2012,06/13/2012,35.629343,-83.450408
0,NA,51-2-6/13/2012,06/13/2012,35.629343,-83.450408
2,PJOR,51-2-6/13/2012,06/13/2012,35.629343,-83.450408
0,NA,51-2-6/13/2012,06/13/2012,35.629343,-83.450408
0,NA,51-2-6/13/2012,06/13/2012,35.629343,-83.450408
4,PJOR,51-3-6/13/2012,06/13/2012,35.629825,-83.450029
2,PJOR,51-3-6/13/2012,06/13/2012,35.629825,-83.450029
2,PJOR,51-3-6/13/2012,06/13/2012,35.629825,-83.450029
0,NA,51-3-6/13/2012,06/13/2012,35.629825,-83.450029
0,NA,51-3-6/13/2012,06/13/2012,35.629825,-83.450029
1,PJOR,51-4-6/13/2012,06/13/2012,35.629861,-83.44982
1,PJOR,51-4-6/13/2012,06/13/2012,35.629861,-83.44982
1,PJOR,51-4-6/13/2012,06/13/2012,35.629861,-83.44982
2,PJOR,51-4-6/13/2012,06/13/2012,35.629861,-83.44982
1,DOCO,51-4-6/13/2012,06/13/2012,35.629861,-83.44982
1,EWIL,3-1-6/16/2012,06/16/2012,35.563227,-83.330469
5,EWIL,3-1-6/16/2012,06/16/2012,35.563227,-83.330469
1,PTEY,3-1-6/16/2012,06/16/2012,35.563227,-83.330469
1,EWIL,3-1-6/16/2012,06/16/2012,35.563227,-83.330469
1,PTEY,3-1-6/16/2012,06/16/2012,35.563227,-83.330469
1,EWIL,3-1-6/16/2012,06/16/2012,35.563227,-83.330469
0,NA,3-2-6/16/2012,06/16/2012,35.563234,-83.330475
0,NA,3-2-6/16/2012,06/16/2012,35.563234,-83.330475
0,NA,3-2-6/16/2012,06/16/2012,35.563234,-83.330475
0,NA,3-2-6/16/2012,06/16/2012,35.563234,-83.330475
1,PTEY,3-2-6/16/2012,06/16/2012,35.563234,-83.330475
0,NA,3-3-6/16/2012,06/16/2012,35.563268,-83.330443
1,PTEY,3-3-6/16/2012,06/16/2012,35.563268,-83.330443
0,NA,3-3-6/16/2012,06/16/2012,35.563268,-83.330443
0,NA,3-3-6/16/2012,06/16/2012,35.563268,-83.330443
0,NA,3-3-6/16/2012,06/16/2012,35.563268,-83.330443
0,NA,3-4-6/16/2012,06/16/2012,35.563368,-83.330506
0,NA,3-4-6/16/2012,06/16/2012,35.563368,-83.330506
0,NA,3-4-6/16/2012,06/16/2012,35.563368,-83.330506
1,PTEY,3-4-6/16/2012,06/16/2012,35.563368,-83.330506
0,NA,3-4-6/16/2012,06/16/2012,35.563368,-83.330506
0,NA,2-1-6/16/2012,06/16/2012,35.5376,-83.301781
0,NA,2-1-6/16/2012,06/16/2012,35.5376,-83.301781
0,NA,2-1-6/16/2012,06/16/2012,35.5376,-83.301781
0,NA,2-1-6/16/2012,06/16/2012,35.5376,-83.301781
0,NA,2-1-6/16/2012,06/16/2012,35.5376,-83.301781
0,NA,2-2-6/16/2012,06/16/2012,35.537641,-83.301743
0,NA,2-2-6/16/2012,06/16/2012,35.537641,-83.301743
0,NA,2-2-6/16/2012,06/16/2012,35.537641,-83.301743
0,NA,2-2-6/16/2012,06/16/2012,35.537641,-83.301743
0,NA,2-2-6/16/2012,06/16/2012,35.537641,-83.301743
0,NA,2-3-6/16/2012,06/16/2012,35.537691,-83.301708
0,NA,2-3-6/16/2012,06/16/2012,35.537691,-83.301708
0,NA,2-3-6/16/2012,06/16/2012,35.537691,-83.301708
0,NA,2-3-6/16/2012,06/16/2012,35.537691,-83.301708
0,NA,2-3-6/16/2012,06/16/2012,35.537691,-83.301708
0,NA,2-4-6/16/2012,06/16/2012,35.537754,-83.301597
0,NA,2-4-6/16/2012,06/16/2012,35.537754,-83.301597
0,NA,2-4-6/16/2012,06/16/2012,35.537754,-83.301597
0,NA,2-4-6/16/2012,06/16/2012,35.537754,-83.301597
0,NA,2-4-6/16/2012,06/16/2012,35.537754,-83.301597
