OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-03503000,"LITTLE TENNESSEE RIVER AT NEEDMORE, NC",Stream,,6010202,436,sq mi,,,35.33638889,-83.5269444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1760.9,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03505500,"NANTAHALA RIVER AT NANTAHALA, NC",Stream,,6010202,144,sq mi,,,35.29870237,-83.65572409,,1,seconds,Interpolated from MAP.,NAD83,1894.68,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03505550,"NANTAHALA RIVER NEAR HEWITT, NC",Stream,,6010202,145,sq mi,,,35.305,-83.6522222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1876.35,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03510815,"MINGUS CREEK AT RAVENSFORD, NC",Stream,,6010203,4.7,sq mi,,,35.60398649,-83.30820859,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03512000,"OCONALUFTEE RIVER AT BIRDTOWN, NC",Stream,,6010203,184,sq mi,,,35.46138889,-83.3536111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1843.25,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03512468,"TUCKASEGEE R AT US HWY 19 NR BRYSON CITY, NC",Stream,,6010203,603,sq mi,,,35.4317632,-83.41432369,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03513000,"TUCKASEGEE RIVER AT BRYSON CITY, NC",Stream,,6010203,655,sq mi,,,35.4275,-83.4469444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1714.32,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03513500,"NOLAND CREEK NEAR BRYSON CITY, NC",Stream,,6010203,13.8,sq mi,,,35.48481705,-83.5040515,,1,seconds,Interpolated from MAP.,NAD83,2268.6,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,173,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-353405083202101,"SW-048 NR CHEROKEE, NC (QUARTZITE)",Well,,6010203,,,,,35.56800556,-83.3391472,,Unknown,Unknown,Reported.,NAD83,2505,feet,10,feet,Interpolated from topographic map.,NAVD88,US,37,173,Piedmont and Blue Ridge crystalline-rock aquifers,,Quartzite,,19670612,148,ft,148,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-351941083353401,AT 23004 SILVERMINE CREEK NC,Stream,,6010202,,,,,35.32811667,-83.5927917,24000,0.01,seconds,Interpolated from Digital MAP.,NAD83,1807,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-353352083284701,AT 21098 NOLAND CREEK NC,Stream,,6010203,,,,,35.56469444,-83.4798306,24000,0.01,seconds,Interpolated from Digital MAP.,NAD83,5536,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-353629083261801,AT 21097 BEECH FLAT PRONG TN,Stream,,6010203,,,,,35.60813889,-83.43838889,24000,0.01,seconds,Interpolated from Digital MAP.,NAD83,4949,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,173,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-353635083270301,AT 21011 ROAD PRONG TN,Stream,,6010107,,,,,35.60981944,-83.4508361,24000,0.01,seconds,Interpolated from Digital MAP.,NAD83,5023,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03468510,"FRENCH BROAD RIVER AT DOUGLAS DAM(TW), TN",Stream,,6010107,,,,,35.9612005,-83.5387809,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469100,"LITTLE PIGEON RIVER NEAR PITTMAN CENTER, TN",Stream,,6010107,46.1,sq mi,,,35.7389826,-83.41627078,,Unknown,Unknown,Interpolated from MAP.,NAD83,1340,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469122,"LITTLE PIGEON RIVER AT LAUREL, TN",Stream,,6010107,73.5,sq mi,,,35.777038,-83.4057156,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469160,"EAST FORK LITTLE PIGEON R NR SEVIERVILLE, TN",Stream,,6010107,64.1,sq mi,,,35.865369,-83.4879436,,Unknown,Unknown,Interpolated from MAP.,NAD83,929.2,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,,,,,NWIS
